Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
The Curse of the Jade Scorpion,"Comedy, Crime, Mystery","['John Tormey', 'John Schuck', 'Woody Allen', 'Elizabeth Berkley']",['Woody Allen'],Woody Allen,English,7585551,"USA, Germany",24 Aug 2001,103 min,6.8,1 win.,tt0256524.jpg,"[14104, 268, 9996, 4524]",[2871]
The Man Who Wasn't There,"Crime, Drama","['Billy Bob Thornton', 'Frances McDormand', 'Michael Badalucco', 'James Gandolfini']","['Joel Coen', 'Ethan Coen']","Joel Coen, Ethan Coen","English, Italian, French",7494849,"USA, UK",16 Nov 2001,116 min,7.6,Nominated for 1 Oscar. Another 24 wins & 41 nominations.,tt0243133.jpg,"[1459, 3053, 14483, 8485]","[2071, 1198]"
Mulholland Drive,"Drama, Mystery, Thriller","['Naomi Watts', 'Jeanne Bates', 'Dan Birnbaum', 'Laura Harring']",['David Lynch'],David Lynch,"English, Spanish",7219578,"France, USA",19 Oct 2001,147 min,8.0,Nominated for 1 Oscar. Another 46 wins & 53 nominations.,tt0166924.jpg,"[1714, 6075, 13262, 5480]",[2708]
Town & Country,"Comedy, Romance","['Warren Beatty', 'Nastassja Kinski', 'Diane Keaton', 'Goldie Hawn']",['Peter Chelsom'],"Michael Laughlin, Buck Henry",English,6712451,USA,27 Apr 2001,104 min,4.4,1 win & 2 nominations.,tt0141907.jpg,"[4336, 854, 15471, 218]",[510]
One Night at McCool's,"Comedy, Crime","['Matt Dillon', 'Mary Jo Smith', 'Michael Douglas', 'Paul Reiser']",['Harald Zwart'],Stan Seidel,"English, Spanish",0,USA,27 Apr 2001,93 min,6.1,,tt0203755.jpg,"[12873, 6737, 11691, 14548]",[4346]
Ghost World,"Comedy, Drama","['Thora Birch', 'Scarlett Johansson', 'Steve Buscemi', 'Brad Renfro']",['Terry Zwigoff'],"Daniel Clowes (comic book), Daniel Clowes, Terry Zwigoff",English,6200756,"USA, UK, Germany",21 Sep 2001,111 min,7.4,Nominated for 1 Oscar. Another 28 wins & 56 nominations.,tt0162346.jpg,"[10908, 1674, 2551, 5216]",[768]
Iris,"Biography, Drama, Romance","['Kate Winslet', 'Hugh Bonneville', 'Judi Dench', 'Jim Broadbent']",['Richard Eyre'],"John Bayley (books), Richard Eyre (screenplay), Charles Wood (screenplay)",English,1292119,"UK, USA",29 Mar 2002,91 min,7.1,Won 1 Oscar. Another 13 wins & 30 nominations.,tt0280778.jpg,"[6229, 11921, 14802, 3394]",[67]
Say It Isn't So,"Comedy, Romance","['Chris Klein', 'Heather Graham', 'Orlando Jones', 'Sally Field']",['J.B. Rogers'],"Peter Gaulke, Gerry Swallow",English,0,USA,23 Mar 2001,95 min,4.9,1 nomination.,tt0239949.jpg,"[1650, 10831, 13057, 3903]",[1912]
Monkeybone,"Animation, Comedy, Fantasy","['Brendan Fraser', 'Bridget Fonda', 'John Turturro', 'Chris Kattan']",['Henry Selick'],Kaja Blackley (graphic novel \,English,5409517,USA,23 Feb 2001,93 min,4.7,2 nominations.,tt0166276.jpg,"[9732, 9632, 6080, 6708]",[2914]
Made,"Comedy, Crime, Drama","['Jon Favreau', 'Vince Vaughn', 'Joe Goossen', 'Famke Janssen']",['Jon Favreau'],Jon Favreau,"English, French",5308707,USA,31 Aug 2001,95 min,6.4,1 nomination.,tt0227005.jpg,"[9761, 5561, 6981, 10562]",[2571]
Bubble Boy,"Adventure, Comedy, Romance","['Jake Gyllenhaal', 'Swoosie Kurtz', 'Marley Shelton', 'Danny Trejo']",['Blair Hayes'],"Cinco Paul, Ken Daurio",English,5002310,USA,24 Aug 2001,84 min,5.6,,tt0258470.jpg,"[12374, 11499, 13143, 9634]",[507]
Just Visiting,"Comedy, Fantasy, Sci-Fi","['Jean Reno', 'Christina Applegate', 'Christian Clavier', 'Matt Ross']",['Jean-Marie Poiré'],"Jean-Marie Poiré, Christian Clavier, Christian Clavier (screenplay), Jean-Marie Poiré (screenplay), John Hughes (screenplay)","English, French",0,"France, USA",06 Apr 2001,88 min,5.8,,tt0189192.jpg,"[12478, 8322, 14049, 13424]",[3842]
The Other Side of Heaven,"Adventure, Biography, Drama","['Christopher Gorham', 'Anne Hathaway', 'Joe Folau', 'Nathaniel Lees']",['Mitch Davis'],"Mitch Davis, John H. Groberg (book)","English, Tonga",4720371,USA,12 Apr 2002,113 min,6.5,1 win.,tt0250371.jpg,"[3917, 8084, 11358, 8653]",[2349]
Lantana,"Drama, Mystery","['Anthony LaPaglia', 'Geoffrey Rush', 'Barbara Hershey', 'Kerry Armstrong']",['Ray Lawrence'],"Andrew Bovell (play), Andrew Bovell (screenplay)",English,0,"Australia, Germany",08 Mar 2002,121 min,7.4,36 wins & 22 nominations.,tt0259393.jpg,"[10900, 14936, 2875, 14253]",[4276]
The Anniversary Party,"Comedy, Drama, Romance","['Alan Cumming', 'Jennifer Jason Leigh', 'Otis', 'Steven Freedman']","['Alan Cumming', 'Jennifer Jason Leigh']","Jennifer Jason Leigh, Alan Cumming",English,4013506,USA,29 Jun 2001,115 min,6.4,2 wins & 5 nominations.,tt0254099.jpg,"[2277, 10904, 14758, 14122]","[2921, 3985]"
Kabhi Khushi Kabhie Gham...,"Drama, Musical, Romance","['Amitabh Bachchan', 'Jaya Bhaduri', 'Shah Rukh Khan', 'Kajol']",['Karan Johar'],"Karan Johar, Sheena Parikh (screenplay)","Hindi, English, Urdu",0,India,14 Dec 2001,210 min,7.5,22 wins & 43 nominations.,tt0248126.jpg,"[8279, 175, 9179, 3593]",[3076]
Waking Life,"Animation, Drama, Fantasy","['Trevor Jack Brooks', 'Lorelei Linklater', 'Wiley Wiggins', 'Glover Gill']",['Richard Linklater'],Richard Linklater,English,2892011,USA,16 Nov 2001,99 min,7.8,5 wins & 20 nominations.,tt0243017.jpg,"[1871, 2705, 3120, 5307]",[3599]
Sidewalks of New York,"Comedy, Romance","['Penny Balfour', 'Edward Burns', 'Michael Leydon Campbell', 'Nadia Dajani']",['Edward Burns'],Edward Burns,English,2402459,USA,30 Nov 2001,108 min,6.5,,tt0239986.jpg,"[1109, 4172, 12722, 12585]",[367]
Escanaba in da Moonlight,"Comedy, Fantasy","['Jeff Daniels', 'Harve Presnell', 'Joey Albright', 'Wayne David Parker']",['Jeff Daniels'],"Jeff Daniels (play), Jeff Daniels (story), Guy Sanville (story), Jeff Daniels",English,0,USA,09 Feb 2001,91 min,6.5,,tt0180679.jpg,"[7470, 15275, 12632, 15276]",[4495]
Novocaine,"Comedy, Crime, Drama","['Chelcie Ross', 'Steve Martin', 'Laura Dern', 'Lynne Thigpen']",['David Atkins'],"Paul Felopulos (story), David Atkins (story), David Atkins (screenplay)","English, French",2025238,USA,14 Dec 2001,95 min,5.8,,tt0234354.jpg,"[15099, 8851, 12529, 5535]",[127]
The Center of the World,"Drama, Romance","['Shane Edelman', 'Peter Sarsgaard', 'Molly Parker', 'Karry Brown']",['Wayne Wang'],"Wayne Wang (story), Miranda July (story), Paul Auster (story), Siri Hustvedt (story), Ellen Benjamin Wong (screenplay)",English,1096037,USA,18 May 2001,88 min,5.9,1 nomination.,tt0240402.jpg,"[9621, 1651, 381, 15050]",[1462]
Yaadein...,"Musical, Drama, Romance","['Jackie Shroff', 'Hrithik Roshan', 'Kareena Kapoor', 'Amrish Puri']",['Subhash Ghai'],"Subhash Ghai (dialogue), Subhash Ghai (screenplay), Amrik Gill (dialogue), Aatish Kapadia (screenplay), Anuradha Tiwari (screenplay)",Hindi,0,India,27 Jun 2001,171 min,4.4,1 nomination.,tt0248617.jpg,"[1102, 13642, 9239, 853]",[4503]
An American Rhapsody,Drama,"['Scarlett Johansson', 'Nastassja Kinski', 'Raffaella Bánsági', 'Tony Goldwyn']",['Éva Gárdos'],Éva Gárdos,"English, Hungarian",850023,"USA, Hungary",28 Feb 2002,106 min,6.9,5 wins & 5 nominations.,tt0221799.jpg,"[1674, 854, 13821, 6011]",[3226]
Lagaan: Once Upon a Time in India,"Adventure, Drama, Musical","['Aamir Khan', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne']",['Ashutosh Gowariker'],"Ashutosh Gowariker (story), Ashutosh Gowariker (screenplay), Kumar Dave (screenplay), Sanjay Dayma (screenplay), K.P. Saxena (dialogue)","Hindi, English, Awadhi, Urdu",0,India,08 May 2002,224 min,8.2,Nominated for 1 Oscar. Another 44 wins & 19 nominations.,tt0169102.jpg,"[4636, 11737, 12315, 8141]",[3181]
Charlotte Gray,"Drama, Romance, Thriller","['Cate Blanchett', 'James Fleet', 'Abigail Cruttenden', 'Charlotte McDougall']",['Gillian Armstrong'],"Sebastian Faulks (novel), Jeremy Brock (screenplay)",English,0,"UK, Australia, Germany",11 Jan 2002,121 min,6.4,5 nominations.,tt0245046.jpg,"[14147, 12550, 9236, 11899]",[3093]
The Caveman's Valentine,"Crime, Drama, Music","['Samuel L. Jackson', 'Colm Feore', 'Ann Magnuson', 'Damir Andrei']",['Kasi Lemmons'],"George Dawes Green (novel), George Dawes Green (screenplay)",English,687081,"USA, Canada",20 Sep 2001,105 min,6.0,3 nominations.,tt0182000.jpg,"[2271, 3854, 4154, 5916]",[2258]
Focus,"Drama, Romance","['William H. Macy', 'Laura Dern', 'David Paymer', 'Meat Loaf']",['Neal Slavin'],"Arthur Miller (novel), Kendrew Lascelles (screenplay)",English,717820,USA,02 May 2002,106 min,6.8,2 wins & 4 nominations.,tt0246628.jpg,"[8354, 12529, 5060, 9709]",[4351]
Blow Dry,"Comedy, Drama, Romance","['Alan Rickman', 'Natasha Richardson', 'Rachel Griffiths', 'Rachael Leigh Cook']",['Paddy Breathnach'],Simon Beaufoy,English,637769,"USA, UK, Germany",30 Mar 2001,94 min,6.3,,tt0212380.jpg,"[5686, 14355, 10397, 4981]",[3255]
My First Mister,"Comedy, Drama, Romance","['Rutanya Alda', 'Natasha Braisewell', 'Albert Brooks', 'Henry Brown']",['Christine Lahti'],Jill Franklyn,English,621377,"Germany, USA",26 Oct 2001,109 min,7.3,1 nomination.,tt0206963.jpg,"[9543, 1746, 9544, 7413]",[192]
Donnie Darko,"Drama, Sci-Fi, Thriller","['Jake Gyllenhaal', 'Holmes Osborne', 'Maggie Gyllenhaal', 'Daveigh Chase']",['Richard Kelly'],Richard Kelly,English,727883,USA,26 Oct 2001,113 min,8.1,11 wins & 14 nominations.,tt0246578.jpg,"[12374, 1480, 1396, 10680]",[3514]
Tape,Drama,"['Ethan Hawke', 'Robert Sean Leonard', 'Uma Thurman']",['Richard Linklater'],"Stephen Belber (play), Stephen Belber (screenplay)",English,490475,USA,12 Jul 2002,86 min,7.3,1 win & 1 nomination.,tt0275719.jpg,"[11387, 13381, 15180]",[3599]
The Affair of the Necklace,"Drama, History, Romance","['Hilary Swank', 'Jonathan Pryce', 'Simon Baker', 'Adrien Brody']",['Charles Shyer'],John Sweet,English,430313,USA,07 Dec 2001,118 min,6.1,Nominated for 1 Oscar. Another 1 nomination.,tt0242252.jpg,"[5343, 7467, 7198, 13976]",[1145]
Lajja,"Drama, Musical, Crime","['Rekha', 'Anil Kapoor', 'Jackie Shroff', 'Madhuri Dixit']",['Rajkumar Santoshi'],"Ranjit Kapoor (dialogue), Ashok Rawat (associate script), Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story)",Hindi,0,India,19 Sep 2001,202 min,6.8,1 win & 12 nominations.,tt0293342.jpg,"[10828, 10050, 1102, 8333]",[3988]
Bride of the Wind,"Biography, Drama, Music","['Sarah Wynter', 'Jonathan Pryce', 'Vincent Perez', 'Simon Verhoeven']",['Bruce Beresford'],Marilyn Levy,English,419414,"UK, Germany, Austria",04 Jan 2002,99 min,5.7,,tt0212827.jpg,"[5759, 7467, 3247, 2412]",[303]
Piñero,"Biography, Drama","['Benjamin Bratt', 'Giancarlo Esposito', 'Talisa Soto', 'Nelson Vasquez']",['Leon Ichaso'],Leon Ichaso,English,1418314,USA,12 Apr 2002,103 min,6.4,6 wins & 3 nominations.,tt0261066.jpg,"[1004, 6409, 15208, 429]",[3807]
High Heels and Low Lifes,"Action, Drama, Comedy","['Minnie Driver', 'Mary McCormack', 'Kevin McNally', 'Mark Williams']",['Mel Smith'],"Kim Fuller (story), Georgia Pritchett (story), Kim Fuller (screenplay)",English,226792,"UK, USA",26 Oct 2001,86 min,6.2,1 nomination.,tt0253126.jpg,"[10799, 1867, 9452, 14018]",[346]
The Trumpet of the Swan,"Animation, Drama, Musical","['Jason Alexander', 'Mary Steenburgen', 'Reese Witherspoon', 'Seth Green']","['Terry L. Noss', 'Richard Rich']","Judy Rothman Rofé (screenplay), E.B. White (book)",English,152525,USA,01 Mar 2001,75 min,5.0,1 nomination.,tt0206367.jpg,"[8813, 10539, 9197, 4400]","[290, 4622]"
Jodi No.1,Comedy,"['Sanjay Dutt', 'Govinda', 'Twinkle Khanna', 'Monica Bedi']",['David Dhawan'],"Rumi Jaffery (dialogue), Imtiaz Patel (screenplay), Yunus Sajawal (screenplay)",Hindi,0,India,13 Apr 2001,140 min,5.8,1 win & 1 nomination.,tt0278522.jpg,"[14957, 10903, 11121, 12709]",[3242]
The Invisible Circus,Drama,"['Cameron Diaz', 'Jordana Brewster', 'Christopher Eccleston', 'Blythe Danner']",['Adam Brooks'],"Jennifer Egan (novel), Adam Brooks (screenplay)",English,0,USA,23 Feb 2001,93 min,5.7,,tt0178642.jpg,"[8450, 3490, 1205, 14422]",[2991]
Kuch Khatti Kuch Meethi,"Drama, Family","['Kajol', 'Rishi Kapoor', 'Rati Agnihotri', 'Sunil Shetty']",['Rahul Rawail'],,Hindi,57188,India,19 Jan 2001,120 min,4.7,,tt0271604.jpg,"[3593, 6275, 7826, 14699]",[4146]
Pavilion of Women,"Drama, Romance, War","['Willem Dafoe', 'Luo Yan', 'Sau Sek', 'John Cho']",['Ho Yim'],"Pearl S. Buck (novel), Luo Yan (screenplay), Paul Collins (screenplay)","English, Mandarin",35938,"China, USA",16 Nov 2001,116 min,5.9,1 win.,tt0244709.jpg,"[3522, 8993, 1508, 8222]",[1083]
The Body,"Drama, Mystery, Romance","['Antonio Banderas', 'Olivia Williams', 'John Shrapnel', 'Derek Jacobi']",['Jonas McCord'],"Richard Sapir (novel), Jonas McCord (screenplay)","English, Arabic, Hebrew",33565,"USA, Israel, Germany",13 Dec 2001,109 min,5.3,2 wins.,tt0201485.jpg,"[13091, 14660, 10755, 5504]",[2492]
My Voyage to Italy,Documentary,['Martin Scorsese'],['Martin Scorsese'],"Suso Cecchi D'Amico, Raffaele Donato, Kent Jones, Martin Scorsese","English, Italian, French, German",8527,"Italy, USA",16 May 2002,246 min,8.3,3 wins & 2 nominations.,tt0173772.jpg,[4703],[1029]
Rat Race,"Adventure, Comedy","['Breckin Meyer', 'Jenica Bergere', 'Cuba Gooding Jr.', 'Carrie Diamond']",['Jerry Zucker'],Andy Breckman,English,1320394,"Canada, USA",17 Aug 2001,112 min,6.4,1 nomination.,tt0250687.jpg,"[14062, 15177, 11376, 6606]",[3153]
Spider-Man,"Action, Adventure","['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],"Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book), David Koepp (screenplay)",English,15917016,USA,03 May 2002,121 min,7.3,Nominated for 2 Oscars. Another 14 wins & 54 nominations.,tt0145487.jpg,"[1406, 3522, 9851, 7555]",[4472]
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama","['Bruce Allpress', 'Sean Astin', 'John Bach', 'Sala Baker']",['Peter Jackson'],"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)","English, Sindarin, Old English",49935319,"USA, New Zealand",18 Dec 2002,179 min,8.7,Won 2 Oscars. Another 114 wins & 126 nominations.,tt0167261.jpg,"[14048, 4332, 580, 4702]",[4432]
Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy","['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen', 'Christopher Lee']",['George Lucas'],"George Lucas (screenplay), Jonathan Hales (screenplay), George Lucas (story)",English,310675583,USA,16 May 2002,142 min,6.7,Nominated for 1 Oscar. Another 13 wins & 53 nominations.,tt0121765.jpg,"[4323, 14501, 9178, 11541]",[3138]
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Griffiths']",['Chris Columbus'],"J.K. Rowling (novel), Steve Kloves (screenplay)",English,261970615,"UK, USA, Germany",15 Nov 2002,161 min,7.4,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,tt0295297.jpg,"[12909, 3421, 14113, 5430]",[3094]
Signs,"Drama, Sci-Fi, Thriller","['Mel Gibson', 'Joaquin Phoenix', 'Rory Culkin', 'Abigail Breslin']",['M. Night Shyamalan'],M. Night Shyamalan,"English, Portuguese",227965690,USA,02 Aug 2002,106 min,6.7,3 wins & 30 nominations.,tt0286106.jpg,"[6483, 2256, 15540, 4397]",[175]
Austin Powers in Goldmember,"Action, Comedy, Crime","['Mike Myers', 'Beyoncé Knowles', 'Seth Green', 'Michael York']",['Jay Roach'],"Mike Myers, Michael McCullers, Mike Myers (characters created by)","English, Japanese, German, French",461193,USA,26 Jul 2002,94 min,6.2,5 wins & 21 nominations.,tt0295178.jpg,"[5443, 15059, 4400, 3564]",[1328]
Men in Black II,"Action, Adventure, Comedy","['Tommy Lee Jones', 'Will Smith', 'Rip Torn', 'Lara Flynn Boyle']",['Barry Sonnenfeld'],Lowell Cunningham (comic book \,English,0,USA,03 Jul 2002,88 min,6.1,3 wins & 10 nominations.,tt0120912.jpg,"[1369, 7745, 1188, 263]",[3185]
Ice Age,"Animation, Adventure, Comedy","['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Goran Visnjic']","['Chris Wedge', 'Carlos Saldanha']","Michael J. Wilson (story), Michael Berg (screenplay), Michael J. Wilson (screenplay), Peter Ackerman (screenplay), James Bresnahan (additional story), Doug Compton (additional story), Mike Thurmeier (additional story), Jeff Siergey (additional story), Galen T. Chu (additional story), Xeth Feinberg (additional story)","English, Croatian",4158805,USA,15 Mar 2002,81 min,7.6,Nominated for 1 Oscar. Another 5 wins & 28 nominations.,tt0268380.jpg,"[11620, 5124, 2340, 12087]","[3189, 217]"
Chicago,"Comedy, Crime, Musical","['Taye Diggs', 'Cliff Saunders', 'Catherine Zeta-Jones', 'Renée Zellweger']",['Rob Marshall'],"Bill Condon (screenplay), Bob Fosse (book), Fred Ebb (book), Maurine Dallas Watkins (play)","English, Hungarian",170684505,"USA, Germany, Canada",24 Jan 2003,113 min,7.2,Won 6 Oscars. Another 49 wins & 116 nominations.,tt0299658.jpg,"[1356, 14352, 4901, 9230]",[4147]
Catch Me If You Can,"Biography, Crime, Drama","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']",['Steven Spielberg'],"Jeff Nathanson (screenplay), Frank Abagnale Jr. (book), Stan Redding (book)","English, French",9493232,"USA, Canada",25 Dec 2002,141 min,8.0,Nominated for 2 Oscars. Another 11 wins & 34 nominations.,tt0264464.jpg,"[8757, 9548, 10099, 6417]",[787]
Die Another Day,"Action, Adventure, Thriller","['Pierce Brosnan', 'Halle Berry', 'Toby Stephens', 'Rosamund Pike']",['Lee Tamahori'],"Ian Fleming (characters), Neal Purvis, Robert Wade","English, Korean, Cantonese, Spanish, German, Icelandic, Italian",7463693,"UK, USA",22 Nov 2002,133 min,6.1,Nominated for 1 Golden Globe. Another 5 wins & 31 nominations.,tt0246460.jpg,"[4470, 2353, 11458, 12737]",[2659]
Scooby-Doo,"Adventure, Comedy, Mystery","['Freddie Prinze Jr.', 'Sarah Michelle Gellar', 'Matthew Lillard', 'Linda Cardellini']",['Raja Gosnell'],"James Gunn (screenplay), Craig Titley (story), James Gunn (story), William Hanna (characters), Joseph Barbera (characters)",English,4942107,"USA, Australia",14 Jun 2002,86 min,4.9,3 wins & 8 nominations.,tt0267913.jpg,"[6135, 5743, 4390, 28]",[3569]
xXx,"Action, Adventure","['Vin Diesel', 'Asia Argento', 'Marton Csokas', 'Samuel L. Jackson']",['Rob Cohen'],Rich Wilkes,"English, German, Spanish, Russian, Czech",4327240,USA,09 Aug 2002,124 min,5.8,4 wins & 13 nominations.,tt0295701.jpg,"[14552, 15459, 1404, 2271]",[4646]
The Santa Clause 2,"Comedy, Family, Fantasy","['Tim Allen', 'Elizabeth Mitchell', 'David Krumholtz', 'Eric Lloyd']",['Michael Lembeck'],"Don Rhymer (screenplay), Cinco Paul (screenplay), Ken Daurio (screenplay), Ed Decter (screenplay), John J. Strauss (screenplay), Leo Benvenuti (characters), Steve Rudnick (characters), Leo Benvenuti (story), Steve Rudnick (story)",English,139225854,USA,01 Nov 2002,104 min,5.5,1 win & 3 nominations.,tt0304669.jpg,"[13602, 12982, 11596, 9932]",[3233]
Minority Report,"Action, Mystery, Sci-Fi","['Tom Cruise', 'Max von Sydow', 'Steve Harris', 'Neal McDonough']",['Steven Spielberg'],"Philip K. Dick (short story), Scott Frank (screenplay), Jon Cohen (screenplay)","English, Swedish",15916084,USA,21 Jun 2002,145 min,7.7,Nominated for 1 Oscar. Another 18 wins & 72 nominations.,tt0181689.jpg,"[9466, 6004, 12239, 15518]",[787]
The Ring,"Horror, Mystery, Sci-Fi","['Naomi Watts', 'Martin Henderson', 'David Dorfman', 'Brian Cox']",['Gore Verbinski'],"Ehren Kruger (screenplay), Kôji Suzuki (novel)",English,0,"USA, Japan",18 Oct 2002,115 min,7.1,14 wins & 11 nominations.,tt0298130.jpg,"[1714, 7155, 12891, 11043]",[936]
Sweet Home Alabama,"Comedy, Romance","['Reese Witherspoon', 'Josh Lucas', 'Patrick Dempsey', 'Candice Bergen']",['Andy Tennant'],"Douglas J. Eboch (story), C. Jay Cox (screenplay)",English,526003,USA,27 Sep 2002,108 min,6.1,3 wins & 6 nominations.,tt0256415.jpg,"[9197, 10679, 1118, 12526]",[4309]
Mr. Deeds,"Comedy, Romance","['Adam Sandler', 'Winona Ryder', 'John Turturro', 'Allen Covert']",['Steven Brill'],Clarence Budington Kelland (short story \,English,482818,USA,28 Jun 2002,96 min,5.8,4 wins & 7 nominations.,tt0280590.jpg,"[2750, 1530, 6080, 8554]",[1694]
The Bourne Identity,"Action, Mystery, Thriller","['Matt Damon', 'Franka Potente', 'Chris Cooper', 'Clive Owen']",['Doug Liman'],"Tony Gilroy (screenplay), W. Blake Herron (screenplay), Robert Ludlum (novel)","English, French, German, Dutch, Italian",4874565,"USA, Germany, Czech Republic",14 Jun 2002,119 min,7.9,3 wins & 5 nominations.,tt0258463.jpg,"[14369, 5989, 3362, 14606]",[4633]
8 Mile,"Drama, Music","['Eminem', 'Kim Basinger', 'Mekhi Phifer', 'Brittany Murphy']",['Curtis Hanson'],Scott Silver,English,5240354,"USA, Germany",08 Nov 2002,110 min,7.0,Won 1 Oscar. Another 12 wins & 20 nominations.,tt0298203.jpg,"[11629, 10030, 15456, 13909]",[2872]
Road to Perdition,"Crime, Drama, Thriller","['Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken', 'Jennifer Jason Leigh']",['Sam Mendes'],"Max Allan Collins (graphic novel), Richard Piers Rayner (graphic novel), David Self (screenplay)",English,40935560,USA,12 Jul 2002,117 min,7.7,Won 1 Oscar. Another 20 wins & 71 nominations.,tt0257044.jpg,"[9319, 11941, 2638, 10904]",[1711]
Panic Room,"Crime, Drama, Thriller","['Jodie Foster', 'Kristen Stewart', 'Forest Whitaker', 'Dwight Yoakam']",['David Fincher'],David Koepp,English,0,USA,29 Mar 2002,112 min,6.8,1 win & 9 nominations.,tt0258000.jpg,"[5633, 12628, 14374, 13937]",[2052]
Maid in Manhattan,"Comedy, Drama, Romance","['Jennifer Lopez', 'Ralph Fiennes', 'Natasha Richardson', 'Stanley Tucci']",['Wayne Wang'],"John Hughes (story), Kevin Wade (screenplay)","English, French, Spanish",1328858,USA,13 Dec 2002,105 min,5.0,8 nominations.,tt0252076.jpg,"[2053, 8635, 14355, 15144]",[1462]
Two Weeks Notice,"Comedy, Romance","['Sandra Bullock', 'Hugh Grant', 'Alicia Witt', 'Dana Ivey']",['Marc Lawrence'],Marc Lawrence,English,2503631,"USA, Australia",20 Dec 2002,101 min,6.1,1 win & 3 nominations.,tt0313737.jpg,"[10463, 6781, 9186, 335]",[2582]
Red Dragon,"Crime, Drama, Thriller","['Anthony Hopkins', 'Edward Norton', 'Ralph Fiennes', 'Harvey Keitel']",['Brett Ratner'],"Thomas Harris (novel), Ted Tally (screenplay)","English, French",6317081,"Germany, USA",04 Oct 2002,124 min,7.2,4 wins & 10 nominations.,tt0289765.jpg,"[1935, 4907, 8635, 8163]",[1191]
The Scorpion King,"Action, Adventure, Fantasy","['Dwayne Johnson', 'Steven Brand', 'Michael Clarke Duncan', 'Kelly Hu']",['Chuck Russell'],"Stephen Sommers (story), Jonathan Hales (story), Stephen Sommers (screenplay), William Osborne (screenplay), David Hayter (screenplay)",English,90341670,"USA, Germany, Belgium",19 Apr 2002,92 min,5.5,2 wins & 3 nominations.,tt0277296.jpg,"[13654, 12417, 9733, 5171]",[1568]
Blade II,"Action, Horror, Sci-Fi","['Wesley Snipes', 'Kris Kristofferson', 'Ron Perlman', 'Leonor Varela']",['Guillermo del Toro'],"Marv Wolfman (character), Gene Colan (character), David S. Goyer","English, Romanian, Czech",60999,"USA, Germany",22 Mar 2002,117 min,6.7,6 wins & 9 nominations.,tt0187738.jpg,"[5271, 6381, 14298, 12296]",[3782]
Snow Dogs,"Adventure, Comedy, Family","['Cuba Gooding Jr.', 'James Coburn', 'Sisqó', 'Nichelle Nichols']",['Brian Levant'],"Jim Kouf (screenplay), Tommy Swerdlow (screenplay), Michael Goldberg (screenplay), Mark Gibson (screenplay), Philip Halprin (screenplay), Gary Paulsen (book)",English,643681,"Canada, USA",18 Jan 2002,99 min,5.1,1 win.,tt0281373.jpg,"[11376, 7569, 14708, 9259]",[3140]
We Were Soldiers,"Action, Drama, History","['Mel Gibson', 'Madeleine Stowe', 'Greg Kinnear', 'Sam Elliott']",['Randall Wallace'],"Harold G. Moore (book), Joseph L. Galloway (book), Randall Wallace (screenplay)","English, Vietnamese, French",495567,"USA, Germany",01 Mar 2002,138 min,7.1,1 win & 5 nominations.,tt0277434.jpg,"[6483, 11208, 885, 4765]",[1231]
Gangs of New York,"Crime, Drama, History","['Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz', 'Jim Broadbent']",['Martin Scorsese'],"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)","English, Irish, Chinese, Latin",77679638,"USA, Italy",20 Dec 2002,167 min,7.5,Nominated for 10 Oscars. Another 45 wins & 102 nominations.,tt0217505.jpg,"[8757, 2386, 8450, 3394]",[1029]
Barbershop,"Comedy, Drama","['Ice Cube', 'Anthony Anderson', 'Cedric the Entertainer', 'Sean Patrick Thomas']",['Tim Story'],"Mark Brown (story), Mark Brown (screenplay), Don D. Scott (screenplay), Marshall Todd (screenplay)",English,0,USA,13 Sep 2002,102 min,6.3,1 win & 17 nominations.,tt0303714.jpg,"[12106, 13862, 3910, 12012]",[4022]
The Rookie,"Drama, Family, Sport","['Dennis Quaid', 'Rachel Griffiths', 'Jay Hernandez', 'Beth Grant']",['John Lee Hancock'],Mike Rich,English,1173179,USA,29 Mar 2002,127 min,7.0,5 wins & 4 nominations.,tt0265662.jpg,"[12575, 10397, 3696, 547]",[654]
