Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster,Actors_id,Director_id
Rough Cut,"Adventure, Comedy, Crime","['Burt Reynolds', 'Lesley-Anne Down', 'David Niven', 'Timothy West']","['Don Siegel', 'Peter R. Hunt']","Larry Gelbart, Derek Lambert (novel)",English,0,USA,20 Jun 1980,112 min,5.6,,tt0081439.jpg,"[13707, 1880, 11426, 3047]","[43, 1259]"
The Final Countdown,"Action, Sci-Fi","['Kirk Douglas', 'Martin Sheen', 'Katharine Ross', 'James Farentino']",['Don Taylor'],"Thomas Hunter (story), Peter Powell (story), David Ambrose (story), David Ambrose (screenplay), Gerry Davis (screenplay), Thomas Hunter (screenplay), Peter Powell (screenplay)","English, Japanese, Russian",0,USA,01 Aug 1980,103 min,6.7,1 win & 2 nominations.,tt0080736.jpg,"[12177, 6417, 9340, 2356]",[322]
The Long Riders,Western,"['David Carradine', 'Keith Carradine', 'Robert Carradine', 'James Keach']",['Walter Hill'],"Bill Bryden, Steven Smith, Stacy Keach, James Keach","English, Swedish",0,USA,16 May 1980,100 min,7.1,1 win & 1 nomination.,tt0081071.jpg,"[2722, 2597, 14669, 8219]",[3926]
Prom Night,"Horror, Romance","['Leslie Nielsen', 'Jamie Lee Curtis', 'Casey Stevens', 'Anne-Marie Martin']",['Paul Lynch'],"William Gray (screenplay), Robert Guza Jr. (story)",English,0,Canada,18 Jul 1980,92 min,5.4,2 nominations.,tt0081383.jpg,"[8491, 13051, 3152, 11472]",[3576]
The Competition,"Drama, Romance, Music","['Richard Dreyfuss', 'Amy Irving', 'Lee Remick', 'Sam Wanamaker']",['Joel Oliansky'],"Joel Oliansky (screenplay), Joel Oliansky (story), William Sackheim (story)",English,0,USA,03 Dec 1980,123 min,6.7,Nominated for 2 Oscars. Another 3 nominations.,tt0080556.jpg,"[11046, 5992, 14745, 8542]",[3421]
Wholly Moses!,"Comedy, Fantasy, History","['Dudley Moore', 'Laraine Newman', 'James Coco', 'Paul Sand']",['Gary Weis'],Guy Thomas,English,0,USA,13 Jun 1980,103 min,4.2,,tt0081751.jpg,"[5584, 11675, 14320, 2230]",[3204]
Used Cars,Comedy,"['Kurt Russell', 'Jack Warden', 'Gerrit Graham', 'Frank McRae']",['Robert Zemeckis'],"Robert Zemeckis, Bob Gale",English,0,USA,11 Jul 1980,113 min,6.8,1 nomination.,tt0081698.jpg,"[10691, 11938, 11947, 13467]",[3560]
The Fiendish Plot of Dr. Fu Manchu,Comedy,"['Peter Sellers', 'Helen Mirren', 'David Tomlinson', 'Sid Caesar']","['Piers Haggard', 'Richard Quine', 'Peter Sellers']","Rudy Dochtermann (screenplay), Jim Moloney (screenplay), Sax Rohmer (novel)",English,0,"USA, UK",08 Aug 1980,100 min,4.9,2 wins & 3 nominations.,tt0080731.jpg,"[11385, 11718, 11611, 8723]","[640, 1720, 4521]"
Stardust Memories,"Comedy, Drama","['Woody Allen', 'Charlotte Rampling', 'Jessica Harper', 'Marie-Christine Barrault']",['Woody Allen'],Woody Allen,"English, French, Persian",0,USA,26 Sep 1980,89 min,7.5,1 nomination.,tt0081554.jpg,"[9996, 8277, 12512, 10230]",[2871]
Somewhere in Time,"Drama, Fantasy, Romance","['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer', 'Teresa Wright']",['Jeannot Szwarc'],"Richard Matheson (screenplay), Richard Matheson (novel)",English,0,USA,03 Oct 1980,103 min,7.3,Nominated for 1 Oscar. Another 6 wins & 3 nominations.,tt0081534.jpg,"[14360, 543, 1120, 13639]",[3356]
Tribute,"Comedy, Drama","['Jack Lemmon', 'Robby Benson', 'Lee Remick', 'Colleen Dewhurst']",['Bob Clark'],"Bernard Slade (play), Bernard Slade (screenplay)",English,0,Canada,19 Dec 1980,121 min,6.3,Nominated for 1 Oscar. Another 2 wins & 13 nominations.,tt0081656.jpg,"[5886, 14031, 14745, 2156]",[3115]
Saturn 3,"Adventure, Sci-Fi, Thriller","['Farrah Fawcett', 'Kirk Douglas', 'Harvey Keitel']","['Stanley Donen', 'John Barry']","Martin Amis (screenplay), John Barry (story)",English,0,UK,15 Feb 1980,96 min,5.0,5 nominations.,tt0079285.jpg,"[14753, 12177, 8163]","[2302, 1208]"
The Formula,"Crime, Thriller","['George C. Scott', 'Marlon Brando', 'Marthe Keller', 'John Gielgud']",['John G. Avildsen'],"Steve Shagan (novel), Steve Shagan (screenplay)","English, Spanish, German",0,"West Germany, USA",19 Dec 1980,117 min,5.6,Nominated for 1 Oscar. Another 6 nominations.,tt0080754.jpg,"[2453, 9273, 1490, 11096]",[2462]
The Awakening,Horror,"['Charlton Heston', 'Susannah York', 'Jill Townsend', 'Stephanie Zimbalist']",['Mike Newell'],"Chris Bryant, Clive Exton, Allan Scott, Bram Stoker (novel)",English,0,UK,31 Oct 1980,101 min,4.9,1 nomination.,tt0080402.jpg,"[13088, 11391, 1259, 8381]",[338]
Fatso,"Comedy, Drama, Romance","['Dom DeLuise', 'Anne Bancroft', 'Ron Carey', 'Candice Azzara']",['Anne Bancroft'],Anne Bancroft,English,0,USA,01 Feb 1980,93 min,6.2,1 win & 2 nominations.,tt0080724.jpg,"[14900, 15093, 9695, 14813]",[4353]
Foxes,Drama,"['Jodie Foster', 'Cherie Currie', 'Marilyn Kagan', 'Kandice Stroh']",['Adrian Lyne'],Gerald Ayres,English,0,USA,29 Feb 1980,106 min,6.1,2 nominations.,tt0080756.jpg,"[5633, 7741, 6595, 12586]",[4425]
The Stunt Man,"Action, Comedy, Drama","[""Peter O'Toole"", 'Steve Railsback', 'Barbara Hershey', 'Allen Garfield']",['Richard Rush'],"Lawrence B. Marcus (screenplay), Richard Rush (adaptation), Paul Brodeur (novel)",English,0,USA,27 Jun 1980,131 min,7.3,Nominated for 3 Oscars. Another 4 wins & 8 nominations.,tt0081568.jpg,"[817, 7700, 2875, 14421]",[3068]
Where the Buffalo Roam,"Biography, Comedy","['Peter Boyle', 'Bill Murray', 'Bruno Kirby', 'Rene Auberjonois']",['Art Linson'],"Hunter S. Thompson (stories), John Kaye (screenplay)",English,0,USA,25 Apr 1980,96 min,6.7,,tt0081748.jpg,"[13586, 11298, 9602, 2672]",[496]
Little Miss Marker,"Comedy, Drama, Romance","['Walter Matthau', 'Julie Andrews', 'Tony Curtis', 'Bob Newhart']",['Walter Bernstein'],"Damon Runyon (story), Walter Bernstein",English,0,USA,21 Mar 1980,103 min,6.3,1 nomination.,tt0081063.jpg,"[15045, 5654, 293, 11736]",[2672]
Oh Heavenly Dog,"Comedy, Crime, Fantasy","['Chevy Chase', 'Benjean', 'Jane Seymour', 'Omar Sharif']",['Joe Camp'],Rod Browning,English,0,USA,11 Jul 1980,103 min,5.4,,tt0081269.jpg,"[709, 971, 543, 2236]",[60]
Divine Madness,"Documentary, Comedy, Music","['Bette Midler', 'Jocelyn Brown', 'Ula Hedwig', 'Diva Gray']",['Michael Ritchie'],"Jerry Blatt, Bette Midler, Bruce Vilanch",English,0,USA,26 Sep 1980,95 min,7.0,,tt0080634.jpg,"[4014, 191, 6132, 12993]",[354]
Melvin and Howard,"Comedy, Drama","['Jason Robards', 'Paul Le Mat', 'Elizabeth Cheshire', 'Mary Steenburgen']",['Jonathan Demme'],Bo Goldman,English,0,USA,19 Sep 1980,95 min,6.9,Won 2 Oscars. Another 15 wins & 9 nominations.,tt0081150.jpg,"[11824, 5349, 2437, 10539]",[3387]
Roadie,"Comedy, Musical","['Meat Loaf', 'Kaki Hunter', 'Art Carney', 'Gailard Sartain']",['Alan Rudolph'],"Big Boy Medlin (story), Michael Ventura (story), Zalman King (story), Alan Rudolph (story), Big Boy Medlin (screenplay), Michael Ventura (screenplay)",English,0,USA,13 Jun 1980,106 min,5.1,1 win & 1 nomination.,tt0081433.jpg,"[9709, 4539, 4214, 525]",[1521]
Resurrection,"Drama, Fantasy","['Ellen Burstyn', 'Sam Shepard', 'Richard Farnsworth', 'Roberts Blossom']",['Daniel Petrie'],Lewis John Carlino,English,0,USA,26 Sep 1980,103 min,7.4,Nominated for 2 Oscars. Another 3 wins & 6 nominations.,tt0081414.jpg,"[1545, 1534, 3341, 3050]",[3584]
Hide in Plain Sight,Drama,"['James Caan', 'Jill Eikenberry', 'Robert Viharo', 'Joe Grifasi']",['James Caan'],"Leslie Waller (book), Spencer Eastman (screenplay)",English,0,USA,21 Mar 1980,92 min,6.3,,tt0080868.jpg,"[4374, 761, 4243, 1967]",[636]
When Time Ran Out...,"Action, Adventure, Drama","['Paul Newman', 'Jacqueline Bisset', 'William Holden', 'Edward Albert']",['James Goldstone'],Gordon Thomas (based on the novel \,English,1700000,"Canada, USA",28 Mar 1980,121 min,4.3,,tt0081747.jpg,"[11378, 5021, 8267, 14039]",[1125]
Heaven's Gate,"Adventure, Drama, Western","['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']",['Michael Cimino'],Michael Cimino,"English, Russian, French, Polish, German",1500000,USA,19 Nov 1980,325 min,6.7,Nominated for 1 Oscar. Another 2 wins & 8 nominations.,tt0080855.jpg,"[6381, 10099, 5782, 11572]",[261]
Midnight Madness,"Family, Comedy","['David Naughton', 'Debra Clinger', 'David Damas', 'Michael J. Fox']","['Michael Nankin', 'David Wechter']","David Wechter, Michael Nankin",English,0,USA,08 Feb 1980,112 min,6.5,,tt0081159.jpg,"[2745, 14100, 2514, 13667]","[4295, 449]"
Loving Couples,Comedy,"['Shirley MacLaine', 'James Coburn', 'Susan Sarandon', 'Stephen Collins']",['Jack Smight'],Martin Donovan (screenplay),English,0,USA,24 Oct 1980,97 min,5.2,,tt0081080.jpg,"[2088, 7569, 11673, 13274]",[3616]
The Idolmaker,"Biography, Drama, Music","['Ray Sharkey', 'Tovah Feldshuh', 'Peter Gallagher', 'Paul Land']",['Taylor Hackford'],Edward Di Lorenzo,English,0,USA,14 Nov 1980,117 min,6.9,Won 1 Golden Globe. Another 2 nominations.,tt0080913.jpg,"[10750, 9198, 2019, 10240]",[939]
The Black Marble,"Crime, Romance, Comedy","['Robert Foxworth', 'Paula Prentiss', 'Harry Dean Stanton', 'Barbara Babcock']",['Harold Becker'],"Joseph Wambaugh (novel), Joseph Wambaugh (screenplay)",English,0,USA,07 Mar 1980,113 min,6.3,1 win.,tt0080442.jpg,"[10150, 14543, 745, 15512]",[570]
